mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
2.8717983e-07,1.7525603e-07,2.8038255e-07,0.00016851493,0.0006411722,0.027135909,True
3.922662e-06,1.4869432e-06,4.5665342e-06,0.00016851493,0.004107923,0.0038051438,True
4.1905914e-06,2.11792e-06,3.202552e-06,0.00016851493,0.0071890703,0.0071377247,True
2.7178617e-06,1.094172e-06,2.253981e-06,0.00016851493,0.008346385,0.008172851,True
4.27632e-06,1.0012297e-06,4.3979244e-06,0.00016851493,0.011205521,0.010708205,True
1.4493734e-06,6.9885886e-07,1.1988604e-06,0.00016851493,0.013680547,0.012530697,True
2.2499244e-06,1.1120989e-06,2.2739853e-06,0.00016851493,0.014435093,0.014411147,True
2.372942e-06,1.3255344e-06,2.3206846e-06,0.00016851493,0.015372424,0.015546027,True
3.1034347e-06,1.1539582e-06,2.896271e-06,0.00016851493,0.018163733,0.016616216,True
6.719189e-06,2.8766199e-06,6.114494e-06,0.00016851493,0.020134725,0.019941948,True
7.0728756e-06,4.3249784e-06,5.5427186e-06,0.00016851493,0.022093924,0.020539226,True
7.0199926e-06,4.092389e-06,6.1240817e-06,0.00016851493,0.023601905,0.023616293,True
6.3387633e-06,3.219422e-06,5.475561e-06,0.00016851493,0.024459792,0.024387054,True
3.7765165e-06,2.7365174e-06,3.0833216e-06,0.00016851493,0.024839314,0.024889754,True
3.28308e-06,2.9132796e-06,2.4051965e-06,0.00016851493,0.025163883,0.02484501,True
3.490563e-06,2.80991e-06,2.6042135e-06,0.00016851493,0.025674557,0.02594822,True
3.4939494e-06,2.8500208e-06,2.6286866e-06,0.00016851493,0.02600412,0.025692066,True
3.4473173e-06,3.0270799e-06,2.637049e-06,0.00016851493,0.02703352,0.026986822,True
4.312875e-06,3.2952842e-06,3.1811896e-06,0.00016851493,0.026351653,0.026370674,True
3.341169e-06,2.8335887e-06,2.4368562e-06,0.00016851493,0.02711449,0.02706796,True
